Time,Open,High,Low,Last,Change,Volume
12/23/15,16.86,16.86,16.73,16.855,0.135,42300
12/22/15,16.72,16.8,16.66,16.72,-0.19,47600
12/21/15,17.055,17.131,16.85,16.91,-0.16,134900
12/18/15,17.2,17.2,17.05,17.07,-0.29,126300
12/17/15,17.64,17.64,17.36,17.36,-0.37,45600
12/16/15,17.7,17.73,17.53,17.73,0.175,91700
12/15/15,17.555,17.68,17.5,17.555,-0.545,74800
12/14/15,18.175,18.175,18.02,18.1,-0.004999999999999,46400
12/11/15,18.4,18.405,18.09,18.105,-0.56,66500
12/10/15,18.744,18.744,18.66,18.665,-0.135,36900
12/09/15,19,19,18.78,18.8,0.315,74400
