score_phrase,title,url,release_date,platform,score,genre,editors_choice
Okay,Friday the 13th: The Game,http://www.ign.com/articles/2017/06/01/friday-the-13th-the-game-review,1-Jun-17,PC,6.9,Action,N
Okay,Danger Zone,http://www.ign.com/articles/2017/06/01/danger-zone-review,1-Jun-17,PC,6.9,Racing,N
Okay,Danger Zone,http://www.ign.com/articles/2017/06/01/danger-zone-review,1-Jun-17,PlayStation 4,6.9,Racing,N
Okay,The Long Journey Home,http://www.ign.com/articles/2017/05/31/the-long-journey-home-review,31-May-17,PC,6.4,Adventure,N
Okay,Tokyo 42,http://www.ign.com/articles/2017/05/31/tokyo-42-review,31-May-17,PC,6.5,Action,N
Great,The Walking Dead: A New Frontier -- Episode 5: From the Gallows,http://www.ign.com/articles/2017/05/30/the-walking-dead-the-telltale-series-a-new-frontier-episode-5-from-the-gallows-review,31-May-17,PC,8.4,Adventure,N
Okay,Rime,http://www.ign.com/articles/2017/05/26/rime-review,26-May-17,PlayStation 4,6.5,Adventure,N
Great,Steel Division: Normandy 44,http://www.ign.com/articles/2017/05/25/steel-division-normandy-44-review,25-May-17,PC,8.7,Strategy,N
Mediocre,Reservoir Dogs: Bloody Days,http://www.ign.com/articles/2017/05/25/reservoir-dogs-bloody-days-review,25-May-17,PC,5.2,Shooter,N
Bad,Perception,http://www.ign.com/articles/2017/05/25/perception-review,25-May-17,PlayStation 4,4.8,Adventure,N
Okay,Mega Man Legacy Collection 2,http://www.ign.com/articles/2017/08/08/mega-man-legacy-collection-2-review,8-Aug-17,PlayStation 4,6,Action,N
Amazing,Hellblade: Senua's Sacrifice,http://www.ign.com/articles/2017/08/07/hellblade-senuas-sacrifice-review,8-Aug-17,PlayStation 4,9,Action,Y
Great,Batman: The Enemy Within -- Episode 1: The Enigma,http://www.ign.com/articles/2017/08/07/telltales-batman-the-enemy-within-episode-1-a-the-enigma-review,7-Aug-17,PC,8.2,Adventure,N
Amazing,Superhot VR,http://www.ign.com/articles/2017/08/04/superhot-vr-review,4-Aug-17,PC,9,Action,Y
Amazing,Superhot VR,http://www.ign.com/articles/2017/08/04/superhot-vr-review,4-Aug-17,PlayStation 4,9,Action,Y
Great,Lone Echo,http://www.ign.com/articles/2017/08/01/lone-echo-review,1-Aug-17,PC,8.9,Action,N
Great,Tacoma,http://www.ign.com/articles/2017/08/01/tacoma-review,1-Aug-17,PC,8.5,Adventure,N
Great,Overcooked,http://www.ign.com/articles/2017/07/31/overcooked-special-edition-review,1-Aug-17,Nintendo Switch,8.4,Simulation,N
Mediocre,Sega Genesis Flashback,http://www.ign.com/articles/2017/07/28/sega-genesis-flashback-review,29-Jul-17,TV game systems,5,"Action, Compilation",N
Good,Sundered,http://www.ign.com/articles/2017/07/27/sundered-review,27-Jul-17,PC,7.8,Adventure,N
